요리명,주재료,부재료,조리법 ,상세설명,데이터기준일자
녹차 마스카포네 티라미수,"비스킷(Ladyfinger) 6~7개, 설탕 2T, 달걀 2개, 마스카포네 ½통(약125g), 녹차가루 1T","생크림 조금, 우유 ½컵","① 녹차가루를 녹여준다. ② 빵을 적실 그릇에 물 혹은 우유를 넣고 녹여준다. ③ 비스킷을 절반으로 썰어준다. ④ 단면이 녹차 녹인 우유를 머금을 수 있게 놓는다. ⑤ 달걀 두개를 흰자, 노른자를 분리해 담는다. ⑥ 노른자에 설탕 1T 넣고 휘핑을 한다. ⑦ 흰자도 휘핑을 한 뒤, 설탕 1T 더해 휘핑이 풍부해지도록 한다.(3~4분, 뒤집어서 흐르지 않을 정도) ⑧ 노른자를 휘핑한 그릇에 마스카포네 ½통, 생크림 조금(생략가능)을 더해 잘 섞어준다. ⑨ 섞어둔 볼에 머랭도 함께 넣어준다. 녹차가루 ½T를 더해준다. ⑩ 머랭이 죽지 않도록 한손으로 그릇을 비스듬히 잡고, 그릇벽을 쓸어올려준다는 느낌으로 아래서 위로 섞어준다. ⑪ 적당한 그릇에 적셔둔 빵을 올리고, 크림을 올려준다. 냉동실에 하루 보관한다. ⑫ 슈가파우더 한겹, 녹차파우더 한겹을 체 쳐서 올려준다. 다시 덮개를 올려 마무리한다.",분량: 3인분 기준 조리시간: 30분 이내 요리팁 마스카포네 대신 크림치즈를 사용해도 된다. 녹차가루의 양은 본인의 취향에 맞게 가감하면 된다.,2022-10-30
녹차 마카롱,"아몬드가루 80g, 슈가파우더 85g, 녹차가루 3g, 흰자 70g, 설탕 55g ","녹차스프레드 130g, 버터 30g","① 아몬드가루, 슈가파우더, 녹차가루는 2번 정도 체 쳐 놓는다. (아몬드가루 80g, 슈가파우더 85g, 녹차가루 3g) ② 볼에 흰자와 설탕을 넣고 머랭을 80~90%로 만들어준다. (흰자 70g, 설탕 55g) ③ 머랭에 체 쳐둔 가루를 넣고 섞어준다. 짤주머니에 반죽을 담고 일정한 크기로 팬에 짠 뒤 상온에서 반죽을 말린다. 반죽이 손가락에 묻어나지 않으면 160℃로 예열된 오븐에 넣고 10~13분 구워준다. ④ 오븐마다 오븐 온도가 다르니 조절해준다. ⑤ 녹차스프레드에 실온에 둔 버터를 넣고 섞어준다. (녹차스프레드 130g, 버터 30g) ⑥ 필링이 다 만들어지면 마카롱 반쪽에 짠 후 나머지 한쪽을 덮어 샌딩한다.",6인분 기준 60분 이내 완성,2022-10-30
녹차 만주,"박력분 150g, 녹차가루 10g, 달걀 1개, 베이킹소다 3g, 뜨거운물 2ts, 백앙금 400g","설탕 20g, 버터 20g, 연유 55g","① 백앙금은 20g씩 분할한 후 동글려서 20개를 만들어준다. ② 달걀은 거품기로 풀어준다. 분량의 설탕을 넣고 뜨거운물을 2ts 넣은 후 설탕이 잘 녹도록 저어준다. 단, 거품을 내지 않는다. ③ 버터는 전자레인지에 녹인 상태에서 연유와 함께 넣어준다. 체에 친 박력분, 베이킹소다, 녹차가루를 넣고 잘 섞어준다. ④ 대략 15g 정도 분할해서 동글리기 해준다. 20개를 만들어준다. ⑤ 반죽을 손바닥으로 누른 후 밀대로 밀어 백앙금을 올려준다. ⑥ 반죽으로 백앙금을 감싸 오므린 후 끝부분은 꼬집어서 마무리 해준다. 그리고 두 손으로 동글리기 해준다. ⑦ 170℃로 예열된 오븐에서 20분 정도 구워준다.",,2022-10-30
녹차 머핀,"밀가루 160g, 식용유 100ml, 베이킹파우더 2ts, 계란 2개, 설탕 100g, 우유 100ml, 녹차가루 15g",아몬드슬라이스 약간,"① 계란 2개와 설탕 100g을 볼에 넣고 섞은 후, 식용유 100ml을 넣고 섞어준다. 오븐은 180℃에서 예열해준다. ② 밀가루 160g과 녹차가루 10g~15g, 베이킹파우더 2ts을 체 쳐서 넣고 섞어준다. ③ 우유 100ml를 넣고 섞어준다. ④ 머핀틀에 일회용 머핀 종이컵 혹은 머핀 실리콘컵을 준비해 반죽을 넣어주고, 아몬드슬라이스가 있다면 반죽 위에 살짝 올려준다. 180℃로 예열된 오븐에서 15분~20분 정도 구워준다.",분량: 6인분 이상 조리시간: 60분 이내 요리팁: 식용유는 향이 너무 강하지 않은 것으로 사용한다.,2022-10-30
녹차 머핀,"버터 100g, 소금 0.5g, 박력분 115g, 베이킹파우더 3g, 우유 30ml, 설탕 90g, 달걀 2개, 녹차가루 10g, 바닐라오일 5~10방울",,"① 실온 버터를 부드럽게 풀어준 뒤, 설탕과 소금을 넣고 잘 섞어준다. ② 달걀과 바닐라오일을 넣고 잘 섞어준다.(충분히 크림화 시켜준다. 노른자부터 섞고, 흰자를 3번 정도 나눠 넣어가며 섞어준다.) ③ 체 친 가루류를 넣고 섞어준다. ④ 가루가 조금 보일 때 우유를 넣고 얼른 섞어준다. 짤주머니 또는 스쿱, 숟가락으로 반죽을 팬닝해준다. ⑤ 일반 머핀틀에 미리 깔아 둔 유산지 속에 반죽을 60~70% 정도 채워준다. ⑥ 오븐 온도 170~180℃에서 20~25분 정도 구워준다.",분량: 3인분 기준 조리시간: 60분 이내 요리팁: 가운데를 꼬치로 찔렀을 때 반죽이 안 묻어 나오면 다 구워진 것이다.,2022-10-30
녹차 머핀,"박력분밀가루 120g, 베이킹파우더 3g, 녹차가루 12g, 설탕 100g, 실온버터 80g, 우유 30g, 달걀 2개, 소금 1꼬집","크림치즈 60g, 슈가파우더 10g, 아몬드 조금, 초코잼 조금","① 설탕 100g을 계량해 볼에 담는다. ② 달걀 2개를 깨뜨려 넣고, 소금 한꼬집 더해준다. ③ 녹인 버터 80g을 더해준다. ④ 볼에 담긴 재료들을 설탕이 녹도록 잘 섞어준다. ⑤ 박력분 120g을 계량하고 체 쳐서 볼에 더해준다. 베이킹파우더 3g, 녹차가루 12g도 체 쳐서 담아준다. 우유 30g도 넣어주고 잘 섞어준다. ⑥ 뭉침 없이 잘 섞어준 뒤 오븐을 180℃로 예열해준다. ⑦ 크림치즈 60g과 슈가파우더 10g을 더한 뒤 잘 섞어준다. 아몬드가루가 있으면 더해준다. ⑧ 버터나 오일로 닦은 틀에 반죽을 20~30% 담고, 필링을 더해준다. 그 위로 다시 반죽을 틀에 80%까지 채워준다. 180℃로 예열된 오븐에 15~20분 구워준다. ⑨ 완성된 머핀은 꺼내서 식혀준다.",분량: 5인분 기준 조리시간: 60분 이내 요리팁: 슈가파우더가 없으면 달콤함을 더할 꿀이나 설탕을 이용해도 된다.,2022-10-30
녹차 머핀,"박력분 220g, 녹차가루 1큰술 베이킹파우더 7g, 달걀 2개 설탕 150g, 포도씨오일 50g, 우유 60g, 호두 30g, 팥배기 50g",,"① 가루류(박력분, 베이킹파우더, 녹차가루)를 체에 3회 정도 내려 준비해둔다. ② 호두를 다져서 팥배기를 넣고 박력분을 세숟갈 정도 넣어서 가루를 입혀준다. ③ 볼에 달걀과 설탕을 넣고 잘 섞어준다. 그리고 포도씨오일을 넣어준다. ④ 우유를 넣어서 섞고, 체에 내려둔 가루류도 넣어서 골고루 섞어준다. ⑤ 섞어두었던 호두와 팥배기를 넣어서 잘 섞어준다. ⑥ 머핀틀에 머핀지를 깔고 머핀지의 80% 정도 반죽을 채워넣은 후, 호두와 팥을 위에 데코로 올려준다. ⑦ 예열한 180℃ 오븐에서 40분 정도 구워준다.",,2022-10-30
녹차 물김치,"배추, 무, 오이, 미나리, 잔파, 배, 마늘, 양파, 생강","소금, 설탕, 가루녹차","① 냄비에 분량의 물을 부어 끓으면 가루녹차를 넣어 잘 풀어 식혀준다. ② 배추, 무는 연한 부분만 이용해 한입 크기로 썰어준다. ③ 오이는 얇게 통으로 썰고 미나리와 잔파도 한입 크기로 썰어준다. ④ 볼에 물기를 제거한 배추를 넣고 준비된 녹차물을 부어 소금과 설탕을 넣어 간 해준다. ⑤ 미나리, 잔파, 오이도 넣어준다. ⑥ 잘게 다진 양파, 마늘, 생강과 한입 크기로 자른 배도 넣어준다. ⑦ 골고루 섞어준 후 마지막으로 소금간 해준다.",,2022-10-30
녹차 밀크 모찌,"우유 200ml, 전분 30g, 설탕 30g, 녹차파우더",,"① 작은 냄비에 우유, 설탕, 녹말을 넣고 잘 섞어 중불로 가열해준다. ② 고무주걱으로 계속 섞다가 걸쭉해지면 물에 적신 밀폐용기로 옮겨 굳을 때까지 1~2시간 식혀준다. ③ 한입 크기로 썰고, 녹차 가루를 뿌려준다.",분량: 2인분 기준 조리시간: 2시간 이상,2022-10-30
녹차 버터링쿠키,"발효 버터 100g, 슈가파우더 46g, 소금 1꼬집, 달걀흰자 26g, 박력분 115g, 말차가루 5g",코팅용 화이트초콜릿 적당량,"① 버터를 부드럽게 실리콘주걱으로 풀어주고 슈가파우더, 소금을 넣고 섞어준다. ② 슈가파우더가 섞이면 핸드믹서로 잘 섞어준다. ③ 흰자를 2~3회 나누어 넣으면서 섞어준다. ④ 체 친 가루를 넣고 주걱으로 섞어준다. ⑤ 깍지 낀 짤주머니에 반죽을 넣고 반죽을 짠다. ⑥ 160℃로 예열한 오븐에 15~20분 구운 후 식힘망에 식혀준다. ⑦ 코팅용 화이트초콜릿은 중탕으로 녹이고 구워서 식힌 쿠키를 담가 코팅하여 굳혀준다.",초콜릿이 굳기 전에 토핑을 뿌려 완성해도 된다.,2022-10-30
녹차 볼 쿠키,"박력분 135g, 녹차가루 5g, 아몬드가루 50g, 설탕 45g, 소금 2g, 포도씨유 60g, 우유 10g, 녹차가루,박력분 합쳐서 140g",,"① 박력분을 볼에 체 쳐 넣고 녹차가루와 아몬드가루를 체 쳐 넣어준다. 가루류를 잘 섞어준다. ② 설탕과 소금도 넣고 가루류와 섞어준다. ③ 포도씨유와 우유를 넣고 주걱을 이용해 한덩어리로 뭉쳐준다. ④ 한덩어리 반죽을 10~15g씩 나누어, 새알심처럼 동글동글 빚어준다. 180℃의 오븐에서 20분정도 구워준다. ⑤ 굽고 완전히 식힌 녹차볼쿠키에 녹차슈가파우더를 묻혀준다. 녹차와 슈가파우더의 비율을 기호에 맞게 붓고 위생백에 넣고 쿠키를 넣고 흔들어 고루 묻혀준다.","④의 과정을 5번 정도 해준 후 냉장고 보관한다. 하루 정도 지나면  위에 떠오른 녹차가 밑으로 가라앉게 된다. 7일 후부터 생선요리, 샐러드, 조림에 응용하면 좋고 피곤할 때 냉수에 한 수저씩 첨가해 먹어도 된다.",2022-10-30
녹차 브라우니,"버터 130g, 설탕 90g, 박력분 50g, 말차가루(녹차가루) 2큰술, 베이킹파우더 ½작은술, 화이트커버처초콜릿 130g, 바닐라설탕 10g, 아몬드가루 30g, 달걀 3개",호두 60g,"① 버터와 화이트초콜릿을 냄비에 담아 녹여준다. ② 설탕과 바닐라설탕을 넣고 손거품기로 설탕을 녹여준다. ③ 달걀은 한개씩 넣어 주면서 손거품기로 잘 섞어준다. ④ 말차가루(녹차가루)와 박력분, 베이킹파우더, 아몬드가루는 체에 쳐서 넣은 후 고무주걱으로 잘 섞어준다. ⑤ 다진 호두를 넣고 잘 섞어준다. ⑥ 네모 모양의 틀에 종이 호일을 끼워 반죽을 넣어준다. ⑦  170℃ 예열된 오븐에서 약 30분 정도 구워준다.",,2022-10-30
녹차 브레드 푸딩,"녹차 생크림식빵 5~6장, 생크림 150ml, 우유 150ml, 계란 2개, 설탕 2큰술, 넛맥 1/4ts, 소금 1/4ts, 크랜베리 50g, 슈가파우더 1큰술",취향에 맞게 시나몬 파우더 ½ts,"① 계란에 넛맥과 소금, 설탕을 넣고 거품기로 잘 풀어준다. ② 계란이 풀어지면 생크림과 우유를 넣고 잘 섞어 푸딩액을 만들어서 준비해준다. ③ 식빵은 먹기 좋은 크기로 잘라서 준비해준다. ④ 볼에 식빵과 크랜베리를 넣고 섞어준다. ⑤ 식빵에 푸딩액을 붓고 잘 섞어 30분~1시간 정도 재워둔다. ⑥ 촉촉히 적신 식빵은 내열용기에 적당량을 넣어준다. ⑦ 190℃로 예열된 오븐에 25~30분 정도 구워준다. (굽는 용기의 크기나 양에 따라 굽는 시간을 30분~1시간 사이로 조절해준다.) ⑧ 위에 더욱 달콤하게 데코 스노우를 솔솔 뿌려준다.",,2022-10-30
녹차 비스코티,"통밀가루 160g, 카놀라유 40g, 설탕 50g, 계란 1개, 녹차가루 15g, 베이킹파우더 2g",견과류 40g,① 카놀라유 40g에 설탕 50g과 상온에 둔 계란 1개를 넣어준다. ② 설탕의 까끌함이 없어질 정도로 휘퍼로 저어준다. (이 때 계란에 거품이 생기지 않도록 조심한다.) ③ 통밀가루 160g을 체 쳐서 내려준다. ④ 녹차가루 15g과 베이킹파우더 2g도 체 쳐서 내려준다. ⑤ 주걱으로 섞어주다가 나중에는 손으로 반죽을 해준다. ⑥ 준비해둔 견과류 40g을 넣어준다. 견과류는 취향껏 넣어준다. ⑦ 견과를 넣은 반죽을 다시 한번 잘 섞이게 반죽을 해준다. ⑧ 호밀빵 모양으로 높이가 3.5cm 정도 되도록 성형을 해준다. ⑨ 180℃로 예열한 오븐에 넣어 20분 정도 구워준다. ⑩ 20분 뒤 구워져 나온 비스코티는 식을 때까지 기다린다. ⑪ 식은 비스코티를 바게트처럼 잘라서 오븐팬에 다시 올려준다. ⑫ 160℃로 예열된 오븐에 10분 굽고 뒤집어서 다시 10분을 구워준다.,3인분 기준 60분이내 완성,2022-10-30
녹차 사브레 쿠키,"아몬드분말 150g, 분당 90g, 박력분 220g, 녹차파우더 20g, 실온의 말랑한 버터 200g, 전란 45g, 흰자 10g, 설탕 적당량",,"① 가루류(아몬드분말, 박력분, 녹차파우더, 슈가파우더)는 3번 체에 쳐준다. ② 실온에 두었던 완전히 부드러워진 버터에 계란을 2~3회에 걸쳐 넣고 휘퍼로 완전히 섞어준다. ③ 체 쳐둔 가루에 ②의 버터를 다 넣고 칼로 자르듯 반죽을 섞어 날가루가 없는 소보루 상태로 만들어준다. (버터에 가루를 넣고 반죽해도 된다.) ④ 날가루가 보이지 않을 때까지 계속 섞어준다. ⑤ 치대지 말고 손으로 꾹꾹 눌러 덩어리로 뭉쳐준다. ⑥ 한덩어리로 만들어 반으로 나눠준다. ⑦ 반씩 쿠킹호일에 올려서 김밥모양처럼 긴 기둥형태로 빚어준다. ⑧ 원하는 두께가 되면 종이호일로 말아서 냉장고에서 2시간 이상 휴지시켜준다. ⑨ 종이호일을 제거하고 계란 흰자를 표면에 얇게 발라준다. ⑩ 쟁반에 흰설탕을 넓게 펴깔고 그 위에 쿠키반죽의 양쪽 끝을 잡고 굴려 설탕을 묻혀준다. ⑪ 1.2cm~1.3cm 정도로 두툼하게 잘라준다. ⑫ 오븐팬에 실리콘페이퍼를 깔고 쿠키를 팬닝한다. ⑬ 많이 부풀지 않으므로 간격을 1.5cm정도만 띄워준다. ⑭ 170℃ 예열된 오븐에서 20분 구워준다. 오븐에 따라 다르므로 가장자리가 연한 갈색이 날때까지 구워준다.",6인분 기준 2시간 이상 걸린다.,2022-10-30
녹차 사브레쿠키,"버터 90g, 계란노른자 1개, 아몬드가루 25g, 소금 1g, 설탕 45g, 박력분 125g, 녹차(또는 말차)가루 6g",,"① 실온에 둬 말랑해진 버터를 풀어주고 설탕을 넣어 크림화한다. 거기에 노른자를 넣고 설탕이 안 만져질 정도로 섞어준다. ② 녹차가루, 박력분, 아몬드가루를 체 쳐 넣어서 주걱으로 긁듯이 섞어준다. ③ 도마에 부어서 한덩이로 잘 뭉쳐준다.(반죽이 공기를 머금고 약간 푸석해지면서 하얘지는 느낌까지 치댄다.) ④ 바닥에 대고 모양을 잡고 유산지 또는 랩에 싸서 냉동실에 2시간 휴지한다. ⑤ 냉동실에 꺼낸 반죽을 10분 정도 그대로 두고, 칼로 일정하게 잘라준다. ⑥ 170℃ 예열한 오븐에 15~20분 구워준다.",분량: 2인분 기준 조리시간: 60분 이내,2022-10-30
녹차 사블레,"박력분 220g, 녹차가루 3g, 버터 140g, 슈가파우더 70g, 노른자 1개, 소금 약간, 흰자 1개, 흰설탕 적당량",,"① 재료는 계량해서 준비해준다. 실온에 한시간 이상 둔 버터를 부드럽게 푼 뒤, 슈가파우더, 소금을 넣고 섞일 때까지 믹싱해준다. 섞어지면 노른자를 넣고 계란이 잘 섞이도록 다시 한번 믹싱해준다. 박력분과 녹차가루를 체에 내려 한덩이가 되도록 섞어준다. ② 뭉친 반죽을 지름 3cm 정도로 막대원형을 만들어 유산지나 비닐에 돌돌말아 냉동실에 1시간 정도 넣어둔다. 다 사용한 호일이나 랩의 심을 이용해 냉동실에 넣으면 바닥이 눌러지지 않은 동그란 모양의 쿠키를 구울 수 있다. ③ 냉장고에서 꺼내어 계란 흰자를 붓으로 골고루 바른 후, 설탕가루를 그릇에 놓고 반죽을 굴려준다. 설탕이 반죽 전체면에 골고루 묻을 수 있도록 여러번 굴려준다. ④ 설탕이 어느정도 묻혀졌으면, 1cm 정도의 두께로 잘라 오븐팬에 올려준다. 사블레 반죽은 냉동실에 보관한다. 반죽을 썰 땐 5분 정도 상온에 둔 후에 썰어준다. 예열된 180℃ 오븐에서 12~15분간 구워준다.",6인분 기준 120분 이내 완성,2022-10-30
녹차 사이다,"녹차가루, 루카스나인 녹차 1개, 사이다",,① 녹차가루를 넣고 뜨거운물을 조금 넣어서 녹여준다. ② 우유를 3번 나눠서 부어준다. ③ 사이다를 커피스푼으로 2~3번 넣어준다.,,2022-10-30
녹차 삼겹살구이,"돼지고기 삼겹살 500g, 녹차가루 1t","통마늘, 마늘장아찌, 파인애플",① 한돈 삼겹살에 녹차가루를 뿌려준다. ② 팬에 삼겹살을 노릇하게 구워준다. ③ 앞뒤로 노릇하게 구워 잘게 자른 후 다시 한번 팬에 구워 남은 기름기를 빼준다.,,2022-10-30
녹차 생초콜릿,"화이트초콜릿 160g, 생크림 50g, 럼주 1ts, 녹차가루 2ts",,① 생크림을 냄비에 넣고 살짝 데워준다. 화이트초콜릿을 넣고 잘 녹여준다. ② 녹차가루를 넣고 잘 섞어주고 럼주를 넣어준다. ③ 무스사각틀에 종이 호일을 깔고 초콜릿을 부은 뒤 냉장고나 베란다에서 굳혀준다. 무스틀이 없으면 사각 밀폐용기에 넣고 굳혀준다. ④ 굳힌 초콜릿을 틀에서 꺼내 한 입 크기로 잘라준다. ⑤ 녹차가루에 듬뿍 굴려준다.,,2022-10-30
